tree_idx,N,seed_theta,seed_Y,var_name,est,sd,bias,cover
1,100,1,1,Sigma_1,0.325910431144655,0.0971884669872176,-0.0340895688553446,TRUE
1,100,1,1,Sigma_2,0.431807365143463,0.13748067782175,0.0718073651434634,TRUE
1,100,1,1,Sigma_3,0.535661998325591,0.170681123611518,0.175661998325591,TRUE
1,100,1,1,Sigma_4,0.411448667428661,0.128494130593038,0.0514486674286607,TRUE
1,100,1,1,Sigma_5,0.524302002025336,0.163142576548834,0.164302002025336,TRUE
1,100,1,1,Sigma_6,3.32969269762578,0.852261222694497,-0.670307302374223,TRUE
1,100,1,1,Sigma_7,3.58771357496062,0.903379239880203,-0.412286425039378,TRUE
1,100,1,2,Sigma_1,0.416528945673871,0.129731181443459,0.0565289456738707,TRUE
1,100,1,2,Sigma_2,0.428746957248892,0.132229505106754,0.068746957248892,TRUE
1,100,1,2,Sigma_3,0.454062669145302,0.138588534561466,0.0940626691453022,TRUE
1,100,1,2,Sigma_4,0.466622704268661,0.149314787234793,0.106622704268661,TRUE
1,100,1,2,Sigma_5,0.430802769113821,0.138385500640004,0.0708027691138207,TRUE
1,100,1,2,Sigma_6,4.07953094037713,1.04912654418846,0.0795309403771309,TRUE
1,100,1,2,Sigma_7,3.22402504448568,0.774504534105806,-0.775974955514318,TRUE
1,100,1,3,Sigma_1,0.29491906437409,0.0901422342489062,-0.0650809356259101,TRUE
1,100,1,3,Sigma_2,0.583756012762719,0.187031254644396,0.223756012762719,TRUE
1,100,1,3,Sigma_3,0.766522933760516,0.245270980217895,0.406522933760516,FALSE
1,100,1,3,Sigma_4,0.427262878921868,0.134131622779981,0.0672628789218677,TRUE
1,100,1,3,Sigma_5,0.486841591849671,0.150196709329019,0.126841591849671,TRUE
1,100,1,3,Sigma_6,3.65355190693088,0.887267481760659,-0.346448093069125,TRUE
1,100,1,3,Sigma_7,3.1220459515316,0.811126728436848,-0.877954048468403,TRUE
1,100,1,4,Sigma_1,0.42212066306489,0.135899241537097,0.0621206630648901,TRUE
1,100,1,4,Sigma_2,0.395206083161308,0.12562961660857,0.0352060831613079,TRUE
1,100,1,4,Sigma_3,0.586032803966189,0.188285178240719,0.226032803966189,TRUE
1,100,1,4,Sigma_4,0.438620270168116,0.1334782663505,0.0786202701681157,TRUE
1,100,1,4,Sigma_5,0.609040299511377,0.187381246384524,0.249040299511377,TRUE
1,100,1,4,Sigma_6,3.59987944517829,0.872743856165398,-0.400120554821715,TRUE
1,100,1,4,Sigma_7,3.06673509026741,0.793939594114388,-0.933264909732586,TRUE
1,100,1,5,Sigma_1,0.372549200083857,0.115691070445306,0.0125492000838571,TRUE
1,100,1,5,Sigma_2,0.507692980882509,0.163279588065802,0.147692980882509,TRUE
1,100,1,5,Sigma_3,0.62750836602365,0.195718840726144,0.26750836602365,TRUE
1,100,1,5,Sigma_4,0.451408945043183,0.142206632511198,0.0914089450431828,TRUE
1,100,1,5,Sigma_5,0.504084756810603,0.158505988776493,0.144084756810603,TRUE
1,100,1,5,Sigma_6,3.01469157485694,0.749486416541721,-0.985308425143057,TRUE
1,100,1,5,Sigma_7,4.17158604438514,1.01665569976127,0.171586044385145,TRUE
2,100,1,1,Sigma_1,0.309329010735427,0.0958231863479341,-0.0506709892645733,TRUE
2,100,1,1,Sigma_2,0.442904827436053,0.14130246361544,0.0829048274360534,TRUE
2,100,1,1,Sigma_3,0.515185648159223,0.168105485791319,0.155185648159223,TRUE
2,100,1,1,Sigma_4,0.409076225619053,0.136197799970554,0.0490762256190534,TRUE
2,100,1,1,Sigma_5,0.532740470365496,0.168629970145361,0.172740470365496,TRUE
2,100,1,1,Sigma_6,2.92721546775604,0.742234906040871,-1.07278453224396,TRUE
2,100,1,1,Sigma_7,3.74703718904477,0.955877539642543,-0.252962810955226,TRUE
2,100,1,2,Sigma_1,0.384596450239048,0.121644295268892,0.0245964502390476,TRUE
2,100,1,2,Sigma_2,0.497667093969041,0.159790138842078,0.137667093969041,TRUE
2,100,1,2,Sigma_3,0.462407119842235,0.144814327150976,0.102407119842235,TRUE
2,100,1,2,Sigma_4,0.468611500066517,0.152015703764638,0.108611500066517,TRUE
2,100,1,2,Sigma_5,0.497870919630069,0.155357822254451,0.137870919630069,TRUE
2,100,1,2,Sigma_6,3.89779003370303,1.06626709795799,-0.102209966296967,TRUE
2,100,1,2,Sigma_7,2.88488644583213,0.720982118481192,-1.11511355416787,TRUE
2,100,1,3,Sigma_1,0.289825465064111,0.0916445691228066,-0.0701745349358885,TRUE
2,100,1,3,Sigma_2,0.590141866769053,0.189638518775524,0.230141866769053,TRUE
2,100,1,3,Sigma_3,0.915357569287136,0.307963770941552,0.555357569287136,FALSE
2,100,1,3,Sigma_4,0.428816032653537,0.144750786160912,0.0688160326535372,TRUE
2,100,1,3,Sigma_5,0.520976635248873,0.165288637618468,0.160976635248873,TRUE
2,100,1,3,Sigma_6,3.86616356220994,1.03677257267555,-0.133836437790055,TRUE
2,100,1,3,Sigma_7,2.96435978123267,0.758902971536868,-1.03564021876733,TRUE
2,100,1,4,Sigma_1,0.388899875087149,0.125532338465086,0.0288998750871495,TRUE
2,100,1,4,Sigma_2,0.545378884575559,0.180081585592682,0.185378884575559,TRUE
2,100,1,4,Sigma_3,0.566089835633886,0.185218112150043,0.206089835633886,TRUE
2,100,1,4,Sigma_4,0.426979665731399,0.139676692805424,0.0669796657313991,TRUE
2,100,1,4,Sigma_5,0.53366405622483,0.168691072720203,0.17366405622483,TRUE
2,100,1,4,Sigma_6,3.45622508892878,0.926598114722348,-0.543774911071218,TRUE
2,100,1,4,Sigma_7,3.19152649160009,0.797430910881176,-0.808473508399909,TRUE
2,100,1,5,Sigma_1,0.324724836922866,0.101497618948961,-0.0352751630771341,TRUE
2,100,1,5,Sigma_2,0.533226486516038,0.171327699981376,0.173226486516038,TRUE
2,100,1,5,Sigma_3,0.656811596838782,0.217669554527651,0.296811596838782,TRUE
2,100,1,5,Sigma_4,0.422945340306076,0.136785878939285,0.062945340306076,TRUE
2,100,1,5,Sigma_5,0.476591728687992,0.156226493500375,0.116591728687992,TRUE
2,100,1,5,Sigma_6,3.21741981772101,0.861992756284083,-0.782580182278994,TRUE
2,100,1,5,Sigma_7,4.09764659848059,1.09542975519168,0.0976465984805932,TRUE
3,100,1,1,Sigma_1,0.370274738786833,0.12749173151749,0.0102747387868333,TRUE
3,100,1,1,Sigma_2,0.48540073022194,0.172301508942349,0.12540073022194,TRUE
3,100,1,1,Sigma_3,0.512986620206652,0.182842499945219,0.152986620206652,TRUE
3,100,1,1,Sigma_4,0.387381010654605,0.129815087295714,0.0273810106546045,TRUE
3,100,1,1,Sigma_5,0.573657920242638,0.194900924797508,0.213657920242638,TRUE
3,100,1,1,Sigma_6,2.69156757344416,0.744829838366357,-1.30843242655584,TRUE
3,100,1,1,Sigma_7,3.89734296941862,1.10806828723417,-0.102657030581381,TRUE
3,100,1,2,Sigma_1,0.406099083512325,0.137236685298086,0.0460990835123254,TRUE
3,100,1,2,Sigma_2,0.516053793612642,0.169847580693444,0.156053793612642,TRUE
3,100,1,2,Sigma_3,0.510876496664056,0.172697810770156,0.150876496664056,TRUE
3,100,1,2,Sigma_4,0.459160086954787,0.156469419175434,0.099160086954787,TRUE
3,100,1,2,Sigma_5,0.540265160498459,0.176065325916566,0.180265160498459,TRUE
3,100,1,2,Sigma_6,3.17158084978386,0.838924000662129,-0.828419150216135,TRUE
3,100,1,2,Sigma_7,3.79638894269661,0.98936583576812,-0.203611057303391,TRUE
3,100,1,3,Sigma_1,0.355947521762499,0.122539122473437,-0.00405247823750049,TRUE
3,100,1,3,Sigma_2,0.712987646394207,0.2513267177198,0.352987646394207,TRUE
3,100,1,3,Sigma_3,0.819512523456964,0.302320915382766,0.459512523456964,FALSE
3,100,1,3,Sigma_4,0.366454742416939,0.123940325043377,0.00645474241693922,TRUE
3,100,1,3,Sigma_5,0.607380207592143,0.202273547729688,0.247380207592143,TRUE
3,100,1,3,Sigma_6,3.92399840658548,1.14367334743476,-0.0760015934145239,TRUE
